T,C_p_std,S_std,opp_G_minus_H_overT,H_to_H_std
0,0,0,inf,-6.197
100,20.786,103.445,144.632,-4.119
200,20.786,117.853,128.053,-2.04
250,20.786,122.491,126.494,-1.001
298.15,20.786,126.152,126.152,0
300,20.786,126.281,126.152,0.038
350,20.786,129.485,126.405,1.078
400,20.786,132.26,126.968,2.117
450,20.786,134.709,127.694,3.156
500,20.786,136.899,128.507,4.196
600,20.786,140.688,130.231,6.274
700,20.786,143.893,131.96,8.353
800,20.786,146.668,133.629,10.431
900,20.786,149.116,135.216,12.51
1000,20.786,151.306,136.718,14.589
1100,20.786,153.288,138.135,16.667
1200,20.786,155.096,139.475,18.746
1300,20.786,156.76,140.741,20.824
1400,20.786,158.3,141.941,22.903
1500,20.786,159.734,143.08,24.982
1600,20.786,161.076,144.163,27.06
1700,20.786,162.336,145.196,29.139
1800,20.786,163.524,146.181,31.217
1900,20.786,164.648,147.124,33.296
2000,20.786,165.714,148.027,35.375
2100,20.786,166.728,148.893,37.453
2200,20.786,167.695,149.726,39.532
2300,20.786,168.619,150.528,41.61
2400,20.786,169.504,151.3,43.689
2500,20.786,170.352,152.045,45.768
2600,20.786,171.168,152.765,47.846
2700,20.786,171.952,153.461,49.925
2800,20.786,172.708,154.135,52.004
2900,20.786,173.438,154.789,54.082
3000,20.786,174.142,155.422,56.161
3100,20.786,174.824,156.037,58.239
3200,20.786,175.484,156.634,60.318
3300,20.786,176.123,157.215,62.397
3400,20.786,176.744,157.781,64.475
3500,20.786,177.346,158.331,66.554
3600,20.786,177.932,158.867,68.632
3700,20.786,178.501,159.39,70.711
3800,20.786,179.056,159.901,72.79
3900,20.786,179.596,160.399,74.868
4000,20.786,180.122,160.885,76.947
4100,20.786,180.635,161.361,79.025
4200,20.786,181.136,161.826,81.104
4300,20.786,181.625,162.28,83.183
4400,20.786,182.103,162.726,85.261
4500,20.786,182.57,163.161,87.34
4600,20.786,183.027,163.588,89.418
4700,20.786,183.474,164.007,91.497
4800,20.786,183.912,164.417,93.576
4900,20.786,184.34,164.819,95.654
5000,20.786,184.76,165.214,97.733
5100,20.786,185.172,165.601,99.811
5200,20.786,185.575,165.981,101.89
5300,20.786,185.971,166.355,103.969
5400,20.786,186.36,166.722,106.047
5500,20.786,186.741,167.082,108.126
5600,20.786,187.116,167.437,110.204
5700,20.786,187.484,167.785,112.283
5800,20.786,187.845,168.128,114.362
5900,20.786,188.201,168.465,116.44
6000,20.786,188.55,168.797,118.519
